Período;ARS;Nº Consultas nos CSP;Nº Consultas CSP (Não Programadas);Nº Consultas CSP (Programadas);Nº Consultas Gripe nos CSP
2017-09-07;ARS Lisboa e Vale do Tejo;25740.0;10191.0;15549.0;9.0
2017-09-08;ARS Norte;36392.0;19290.0;17102.0;16.0
2017-09-08;ARS Lisboa e Vale do Tejo;21517.0;9336.0;12181.0;6.0
2017-09-09;ARS Lisboa e Vale do Tejo;1703.0;1683.0;20.0;5.0
2017-09-10;ARS Norte;1864.0;1864.0;0.0;4.0
2017-09-10;ARS Centro;1492.0;1492.0;0.0;2.0
2017-09-10;ARS Lisboa e Vale do Tejo;1144.0;1144.0;0.0;6.0
2017-09-10;ARS Alentejo;701.0;620.0;81.0;4.0
2017-09-12;ARS Algarve;4331.0;2250.0;2081.0;2.0
2017-09-14;ARS Algarve;4226.0;2173.0;2053.0;5.0
2017-09-16;ARS Centro;1825.0;1745.0;80.0;5.0
2017-09-17;ARS Lisboa e Vale do Tejo;1143.0;1143.0;0.0;5.0
2017-09-18;ARS Algarve;4884.0;2602.0;2282.0;8.0
2017-09-19;ARS Norte;55972.0;28970.0;27002.0;41.0
2017-09-20;ARS Lisboa e Vale do Tejo;29930.0;12370.0;17560.0;21.0
2017-09-20;ARS Algarve;4229.0;2187.0;2042.0;5.0
2017-09-21;ARS Alentejo;7060.0;3674.0;3386.0;4.0
2017-09-21;ARS Algarve;4316.0;2146.0;2170.0;4.0
2017-09-26;ARS Algarve;4707.0;2416.0;2291.0;6.0
2017-09-27;ARS Norte;52890.0;26741.0;26149.0;70.0
2017-09-28;ARS Alentejo;7483.0;3788.0;3695.0;7.0
2017-09-29;ARS Algarve;3831.0;1874.0;1957.0;5.0
2017-09-30;ARS Norte;2794.0;2684.0;110.0;20.0
2017-09-30;ARS Algarve;392.0;367.0;25.0;2.0
2017-10-01;ARS Centro;1963.0;1963.0;0.0;10.0
2017-10-02;ARS Centro;25129.0;14812.0;10317.0;37.0
2017-10-03;ARS Lisboa e Vale do Tejo;31771.0;13934.0;17837.0;45.0
2017-10-04;ARS Algarve;4316.0;2137.0;2179.0;11.0
2017-10-05;ARS Centro;1998.0;1996.0;2.0;17.0
2017-10-06;ARS Centro;16122.0;10491.0;5631.0;27.0
2017-10-08;ARS Algarve;294.0;294.0;0.0;1.0
2017-10-09;ARS Norte;66903.0;37930.0;28973.0;76.0
2017-10-09;ARS Lisboa e Vale do Tejo;36849.0;16598.0;20251.0;40.0
2017-10-11;ARS Lisboa e Vale do Tejo;33232.0;14059.0;19173.0;34.0
2017-10-12;ARS Centro;22886.0;12439.0;10447.0;35.0
2017-10-12;ARS Lisboa e Vale do Tejo;31692.0;13139.0;18553.0;47.0
2017-10-13;ARS Algarve;4080.0;2078.0;2002.0;7.0
2017-10-15;ARS Norte;2507.0;2507.0;0.0;20.0
2017-10-16;ARS Algarve;5225.0;2767.0;2458.0;10.0
